cerbon,bebasan,indonesia
mlayu,melajeng,lari
mledug,mledug,penuh debu
miegeg,miegeg,terkesiap
mlengos (raie),mlengos,membuang muka
mlengos (mlesed),mlengos,melenceng
mlilit,miilit,melilit
mlintir,miintir,melintir
mlongo,mlongo,ternganga
mobil,mobil,mobil
moga,mugi,semoga
mogok,mogok,mogok
mono,mriku,kesitu
mubeng,mubeng,berputar
mudun,turun,turun
mula,mila,maka
mulai,milai,mulai
mulane,milane,makanya
mulang,mucal,mengajar
mulih,kondur,pulang
mundak,napa malih,apalagi
mund ur,mundur,mundur
mung,namung,hanya
mungan,namung,hanya
munggah,naek,naik
mungguh,miturut,menurut
mungpung,mumpung,mumpung
muni,mungel,berbunyi
munjuk,menginggil,keatas
murag,murag,jatuh
murah,mirah,murah
musuh,musuh,musuh
mutah,mutah,muntah
mabur,mabur,terbang
maca,maos,membaca
macan,sima,harimau
macem,macem,macam
madang,dahar,makan
maem,neda dahar,makan
mai,maringi,memberi
maido,maiben,masabodoh
mair,mair,ahli
maju,majeng,maju
mamba,lintang,lewat
mambu,mambet,bau
mampir,kampir,mampir
mana,mrika,kesana
mandeg,brentos,berhenti
mandeng,ningali,memandang
manek,manjat,memanjat
mangan,dahar,makan
mangka,pramila,maka
mangkat,tindak,berangkat
maning,malih,lagi
manja (nandur),nanem,menanam
manjing,mlebet,masuk
manuk,peksi,burung
manut (melu),tumut,turut
nabuh,nabuh,membunyikan
naek,minggah,naik
nagih,nagih,menagih
nakal,nakal,nakal
nakoni,nakeni,menanyakan
nambah,nambih,bertambah
nambani,ngobati,ngobati
nampa,nampi,menerima
nampan,nampan,baki
namung,namung,namun
nandur,nanem,menanam
nanggoni,manggihi,menemui
nanging,nanging,tetapi
nangis,muwun,menangis
nangtu,nangtos,tentu
napsu,duka,marah
nasehat,nasehat,nasehat
nawa (menawa),menanten,barangkali
nawakaken,nawakaken,menawarkan
nawakna,nawakna,menawarkan
nawala,layang,surat
nawani,nawani,menawari
ndegel,duka,nafsu
ndeleng,mirsani,menonton
ndelengaken,ningalaken,memperhatikan
ndepes,ndepes,mepet
ndesek,ndesek,mendesak
ndlongop,ndlongop,menganga
ndodok,pinarak,duduk
ndongkel,ndongkel,mencukil
nekakaken,ndugekaken,mendatangkan
nekani,ndugeni,mendatangi
nelangsa,sengsara,sengsara
nemokaken,mangaihaken,menemukan
nemoni,manggihi,menemui
nempataken,nempataken,menempatkan
napsu,nepsu,marah
nerima,nampl,menerima
nerusaken,nerasaken,melanjutkan
nuli,nunten,lalu
ngadang,ngadang,menghadang
ngadeg,jumeneng,berdiri
ngadegaken,ngadegaken,mendirikan
ngadep,ngadep,menghadap
ngadepi,ngadepi,menghadapi
ngadohi,nebihi,menjauhi
ngadu-adu,ngaben-aben,adu domba
ngaku,ngangken,mengaku
ngalap,mapag,menjemput
ngalih,pindah,pindah
ngamba,langkung,lewat
ngambek,ngambek,ngambek
nganggo,ngengge,memakai
nganti,ngantos,sampai
ngantuk,ngantuk,mengantuk
nganyang,ngawis,menawar
ngarani,ngaranimastani,memberi nama
ngarani,nuduh,menuduh
ngarep,ngajeng,kedepan
ngateraken,ngantukaken,mengantarkan
ngatokaken,ningalaken,memperlihatkan
ngeceg,ngasta,memegang
ngedem,ngedem,berendam
ngeden,ngeden,berusaha keras
ngekum,ngekum,merendam
ngeleg,ngeleg,menelan
ngeloni,ngeloni,menidurkan
ngenggoni,ngenggeni,menempati
ngenteni,ngentosi,menanti
ngerti,ngertos,mengerti
ngetokaken,ngedalaken,mengeluarkan
nggal,samban,setiap
nggati,nggantos,mengganti
nggawa,mbakta,membawaa
nggrembel,nggrembel,ngerompol
nggulati,ngilari,mencari
ngilang,ngical,menghilang
ngindur,nglindur,mengigauu
nginep,nyipeng,minap
ngingu,ngingu,memelihara
nginum,ngunjuk,minum
ngirim,ngintun,mengirimn
ngiring,ngiring,mengiring
ngising,tetoya,berak
ngisor,ngandap,di bawah
nglanjutaken,nerasaken,meneruskan
nglimpah,pindah,pindah
ngliwet,mbetek,menanak
ngombe,ngin um,minum
ngomong,nyriyos,berkata
ngongkon,ngengken,menyuruh
ngontog-ontog,ndegel,kesal
ngrasa,ngraos,merasa
ngrecek,ngrecek,gemericik
ngrungu,mireng,mendengar
narupa,narupi,menyerupai
ngubur,metak,mengubur
nguntap,nguntap,kurang sopan
ngupai,maringi,memberi
nguwehi,maringi,memberi
nguyuh,seseni,seseni
ning,dateng,di
ning endi,teng pundi,dimana
ning endi -endi,teng pundit-pundi,dimana-mana
ning kana,teng rikaa,disana
ning kene,teng riki,disiní
ning kono,teng riku,disitu
ninggal dunya,pejah,meninggal
niteni,niteni,memperhatikan
njaga,njagi,menjaga
njaluk,neda,mohon
nlateni,nlateni,menyabari
nom,nem,muda
nonoman,neneman,pemuda
nonton,ningal,nonton
nuku,numbas,membeli
nuli,nunten,kemudian
nulis,nyerat,menulis
numpak,niti,naik
nunggang,niti,menunggang
nunggu,nengga,menunggu
nutugaken,nerasaken,melanjutkan
nutur,madosi,mencari
nuturaken,nyeritakaken,menceritakan
nyacak,nyobi,mencoba
nyakseni,nyakseni,menyaksikan
nyalini,nggentos,mengganti
nyekel,ngasta,memegang
nyelang,nyambut,pinjam
nyelang,nyelang,sisip
nyelub,nyelub,rendam
nyengir,nyengir,tersenyum
nyewot,duka,marah
nyilih,nyambut,meminjam
nylinguk,nylinguk,menoleh
nyoba,nyobi,mencoba
nyritani,nyritani,menceritakan
nyudah,ngirangi,mengurang
nyuguhi,nyuguhi,menghidangkan
nyusul,nyusul,menjemput
obah,obah,robah
obong,obong,bakar
ocek,ocek,kupas
ogoan,ogoan,kolokan
oglek,oglek,goyah
ojeg,ojeg,ojek
oleng,oleng,oleng
omah,griya,rumah
omah-omah,gegriya,berumah tangga
ombe,inum,minum
omben,unjukan,minuman
omong,ngendikan,kata
omong-omong,ngendikan,bercakap-cakap
ompong,daut,ompong
oncom,tempe,tempe
oncor,obor,obor
ongkeb,gerah,gerah
ongkos,ongkos,ongkos
onta,onta,unta
ora,boten,tidak
ora-orane,mboten-botene,stidak-tidaknya
owah,ewah,goncang
oyeg,oyeg,goyang
pacoban,pacobin,percobaan
pacul,pacul,cangkul
pada,sami,sama
padang,padang,terang
padasan,padasan,padasan
padesaan,padusunan,pedesaan
padet,padet,padat
padusan,padusan,pemandian
paidon,pakecoh,tempat meludah
pajeg,pajeg,pajak
palang,palang,palang
paling,paling,paling
panah,panah,panah
panas,panas,panas
panasan,panasan,saingan
panceng,panceng,tepat
pancing,pancing,kail
pandelengan,paningal,penglihatan
panek,panek,panek
panen,panen,panen
pangan,pangan,pangan
panganan,panganan,makanan
panggang,panggang,panggang
panggonan,panggenan,tempat
panguripan,penguripan,penghidupan
pantes,pantes,pantas
papag,papag,jemput
papagan,papagan l kepanggih,berpapasan
papan,papan,papan
papat,sekawan,empat
paran,arah,arah
parani,ndatengi,mendatangi
parek,caket,dekat
parem,boreh,bedak
parl,pantun,padi
paring,nyukani,memberi
paro (separo),palih (sepalih),paruh (separuh)
pasar,peken,pekan
pasaran,pasaran,pasaran
paseduluran,pasederekan,persaudaraan
pati,santen,patih
pati,patos,begitu
patung,patung,arca
patungan,patungan,urunan
payu,pajeng,laku
payung,payúng,payung
pedes,pedes,pedas
pegat (pegatan,pirak (pirakan),cerai
pegawean,pedamelan,pekerjaan
pegel,cape,lelah
pegot,putus,putus
pegunungan,pegunungan,pegunungan
pencet,pejet,tekan
pijet,pencet,pijat
pekarangan,pekawisan,pekarangan
pelanangan,pelanangan,penis
pembarep,pembajeng,sulung
pembuncing,ragil,bungsu
pendek,pendek,pendek
pendem,pendem,pendam
pengajen,pengajen,penghormatan
pengaji,pengaj,bernilai
peng ajjan,pengaosan,pengajian
penganten,penganten,pengantin
pengarep,pengajeng,terkemuka
pengen,pengen,ingin
pengertian,pengertian,pengertian
penggede,pengagung,pembesar
pentolan,pentolan,gembong
pepada,sesami,sesama
pepadan,pepadan,persamaan
pepadang,pepadang,penerang
pepeh,pepeh,berjemur
pepek,pepek,kumplit
pepek rumeng,rupi-rupi,aneka ragam
perak,perak,perak
perawan,rara perawian,gadis
percaya,percanten,percaya
percuma,percumi,percuma
perih (mata),perih,pedih
perih (weteng),perih,melilit
perkara,perkawis,perkara
perlop,perlop,cuti
perlu,peryogi,perlu
permisi,permios,permisi
pernah,nate,pernah
pertama-tama,pertami-tami,pertama-tama
